university,city,state,level
University of Alaska Fairbanks,Fairbanks,AK,R2
Auburn University,Auburn,AL,R1
University of Alabama at Birmingham,Birmingham,AL,R1
University of Alabama in Huntsville,Huntsville,AL,R1
University of South Alabama,Mobile,AL,R2
University of Alabama,Tuscaloosa,AL,R1
University of Arkansas,Fayetteville,AR,R1
Arkansas State University,Jonesboro,AR,R2
University of Arkansas at Little Rock,Little Rock,AR,R2
Northern Arizona University,Flagstaff,AZ,R2
Arizona State University Digital Immersion,Scottsdale,AZ,R2
Arizona State University,Tempe,AZ,R1
University of Arizona,Tucson,AZ,R1
Azusa Pacific University,Azusa,CA,R2
"University of California, Berkeley",Berkeley,CA,R1
Claremont Graduate University,Claremont,CA,R2
"University of California, Davis",Davis,CA,R1
"California State University, Fresno",Fresno,CA,R2
"California State University, Fullerton",Fullerton,CA,R2
"California State University, East Bay",Hayward,CA,R2
"University of California, Irvine",Irvine,CA,R1
Loma Linda University,Loma Linda,CA,R2
"California State University, Long Beach",Long Beach,CA,R2
"University of California, Los Angeles",Los Angeles,CA,R1
University of Southern California,Los Angeles,CA,R1
Loyola Marymount University,Los Angeles,CA,R2
"University of California, Merced",Merced,CA,R2
Chapman University,Orange,CA,R2
California Institute of Technology,Pasadena,CA,R1
"University of California, Riverside",Riverside,CA,R1
"California State University, San Bernardino",San Bernardino,CA,R2
"University of California, San Diego",San Diego,CA,R1
San Diego State University,San Diego,CA,R2
University of San Diego,San Diego,CA,R2
San Francisco State University,San Francisco,CA,R2
"University of California, Santa Barbara",Santa Barbara,CA,R1
"University of California, Santa Cruz",Santa Cruz,CA,R1
Stanford University,Stanford,CA,R1
University of Colorado Boulder,Boulder,CO,R1
University of Colorado Colorado Springs,Colorado Springs,CO,R2
University of Colorado Denver,Denver,CO,R1
University of Denver,Denver,CO,R1
Colorado State University,Fort Collins,CO,R1
Colorado School of Mines,Golden,CO,R1
Yale University,New Haven,CT,R1
University of Connecticut,Storrs,CT,R1
American University,Washington,DC,R2
Catholic University of America,Washington,DC,R2
Howard University,Washington,DC,R2
George Washington University,"Washington, D.C.",DC,R1
Georgetown University,"Washington, D.C.",DC,R1
University of Delaware,Newark,DE,R1
Florida Atlantic University,Boca Raton,FL,R2
University of Miami,Coral Gables,FL,R1
Nova Southeastern University,Fort Lauderdale,FL,R2
University of Florida,Gainesville,FL,R1
University of North Florida,Jacksonville,FL,R2
Florida Institute of Technology,Melbourne,FL,R2
Florida International University,Miami,FL,R1
University of Central Florida,Orlando,FL,R1
Florida State University,Tallahassee,FL,R1
Florida Agricultural and Mechanical University,Tallahassee,FL,R2
University of South Florida,Tampa,FL,R1
University of Georgia,Athens,GA,R1
Emory University,Atlanta,GA,R1
Georgia Institute of Technology,Atlanta,GA,R1
Georgia State University,Atlanta,GA,R1
Clark Atlanta University,Atlanta,GA,R2
Augusta University,Augusta,GA,R2
Kennesaw State University,Kennesaw,GA,R2
Mercer University,Macon,GA,R2
Georgia Southern University,Statesboro,GA,R2
University of Hawaii at Manoa,Honolulu,HI,R1
Iowa State University,Ames,IA,R1
University of Iowa,Iowa City,IA,R1
Boise State University,Boise,ID,R2
University of Idaho,Moscow,ID,R2
Idaho State University,Pocatello,ID,R2
Southern Illinois University Carbondale,Carbondale,IL,R2
University of Illinois Urbana-Champaign,Champaign,IL,R1
University of Chicago,Chicago,IL,R1
University of Illinois Chicago,Chicago,IL,R1
DePaul University,Chicago,IL,R2
Illinois Institute of Technology,Chicago,IL,R2
Loyola University Chicago,Chicago,IL,R2
Northern Illinois University,Dekalb,IL,R2
Northwestern University,Evanston,IL,R1
Illinois State University,Normal,IL,R2
Indiana University Bloomington,Bloomington,IN,R1
Indiana University – Purdue University Indianapolis,Indianapolis,IN,R2
Ball State University,Muncie,IN,R2
University of Notre Dame,Notre Dame,IN,R1
Purdue University,West Lafayette,IN,R1
University of Kansas,Lawrence,KS,R1
Kansas State University,Manhattan,KS,R1
Wichita State University,Wichita,KS,R2
University of Kentucky,Lexington,KY,R1
University of Louisville,Louisville,KY,R1
Louisiana State University,Baton Rouge,LA,R1
Southern University,Baton Rouge,LA,R2
University of Louisiana at Lafayette,Lafayette,LA,R1
Tulane University,New Orleans,LA,R1
University of New Orleans,New Orleans,LA,R2
Louisiana Tech University,Ruston,LA,R2
University of Massachusetts Amherst,Amherst,MA,R1
Boston University,Boston,MA,R1
Northeastern University,Boston,MA,R1
University of Massachusetts Boston,Boston,MA,R2
Harvard University,Cambridge,MA,R1
Massachusetts Institute of Technology,Cambridge,MA,R1
Boston College,Chestnut Hill,MA,R1
University of Massachusetts Lowell,Lowell,MA,R2
Tufts University,Medford,MA,R1
University of Massachusetts Dartmouth,North Dartmouth,MA,R2
Brandeis University,Waltham,MA,R1
Clark University,Worcester,MA,R2
Worcester Polytechnic Institute,Worcester,MA,R2
Johns Hopkins University,Baltimore,MD,R1
"University of Maryland, Baltimore County",Baltimore,MD,R1
Morgan State University,Baltimore,MD,R2
"University of Maryland, College Park",College Park,MD,R1
"University of Maryland, Eastern Shore",Princess Anne,MD,R2
University of New England,Biddeford,ME,R2
University of Maine,Orono,ME,R1
University of Michigan,Ann Arbor,MI,R1
Wayne State University,Detroit,MI,R1
Michigan State University,East Lansing,MI,R1
Michigan Technological University,Houghton,MI,R2
Western Michigan University,Kalamazoo,MI,R2
Central Michigan University,Mount Pleasant,MI,R2
Oakland University,Rochester,MI,R2
Eastern Michigan University,Ypsilanti,MI,R2
University of Minnesota,Minneapolis,MN,R1
University of Missouri,Columbia,MO,R1
University of Missouri–Kansas City,Kansas City,MO,R2
Missouri University of Science and Technology,Rolla,MO,R2
Saint Louis University,Saint Louis,MO,R2
University of Missouri–St. Louis,Saint Louis,MO,R2
Washington University in St. Louis,St. Louis,MO,R1
University of Southern Mississippi,Hattiesburg,MS,R1
Jackson State University,Jackson,MS,R2
University of Mississippi,Oxford,MS,R1
Mississippi State University,Starkville,MS,R1
Montana State University,Bozeman,MT,R1
University of Montana,Missoula,MT,R1
University of North Carolina at Chapel Hill,Chapel Hill,NC,R1
University of North Carolina at Charlotte,Charlotte,NC,R2
Duke University,Durham,NC,R1
North Carolina A & T State University,Greensboro,NC,R2
University of North Carolina at Greensboro,Greensboro,NC,R2
East Carolina University,Greenville,NC,R2
North Carolina State University,Raleigh,NC,R1
University of North Carolina Wilmington,Wilmington,NC,R2
Wake Forest University,Winston-Salem,NC,R2
North Dakota State University,Fargo,ND,R1
University of North Dakota,Grand Forks,ND,R2
University of Nebraska–Lincoln,Lincoln,NE,R1
Creighton University,Omaha,NE,R2
University of Nebraska at Omaha,Omaha,NE,R2
University of New Hampshire,Durham,NH,R1
Dartmouth College,Hanover,NH,R1
Rutgers University–Camden,Camden,NJ,R2
Rowan University,Glassboro,NJ,R2
Stevens Institute of Technology,Hoboken,NJ,R2
Montclair State University,Montclair,NJ,R2
Rutgers University–New Brunswick,New Brunswick,NJ,R1
New Jersey Institute of Technology,Newark,NJ,R1
Rutgers University–Newark,Newark,NJ,R2
Princeton University,Princeton,NJ,R1
Seton Hall University,South Orange,NJ,R2
University of New Mexico,Albuquerque,NM,R1
New Mexico State University,Las Cruces,NM,R2
"University of Nevada, Las Vegas",Las Vegas,NV,R1
"University of Nevada, Reno",Reno,NV,R1
"University at Albany, SUNY",Albany,NY,R1
Fordham University,Bronx,NY,R2
Long Island University,Brookville,NY,R2
University at Buffalo,Buffalo,NY,R1
Cornell University,Ithaca,NY,R1
CUNY City College,New York,NY,R2
Teachers College at Columbia University,New York,NY,R2
The New School,New York,NY,R2
Columbia University,New York City,NY,R1
"Graduate Center, CUNY",New York City,NY,R1
New York University,New York City,NY,R1
Clarkson University,Potsdam,NY,R2
University of Rochester,Rochester,NY,R1
Rochester Institute of Technology,Rochester,NY,R2
Stony Brook University,Stony Brook,NY,R1
Syracuse University,Syracuse,NY,R1
SUNY College of Environmental Science and Forestry,Syracuse,NY,R2
Rensselaer Polytechnic Institute,Troy,NY,R1
Binghamton University,Vestal,NY,R1
University of Akron Main Campus,Akron,OH,R2
Ohio University,Athens,OH,R1
Bowling Green State University,Bowling Green,OH,R2
University of Cincinnati,Cincinnati,OH,R1
Case Western Reserve University,Cleveland,OH,R1
Cleveland State University,Cleveland,OH,R2
Ohio State University,Columbus,OH,R1
University of Dayton,Dayton,OH,R2
Wright State University,Dayton,OH,R2
Kent State University,Kent,OH,R1
Miami University,Oxford,OH,R2
University of Toledo,Toledo,OH,R2
"Air Force Institute of Technology Graduate School of Engineering & 
Management",Wright-Patterson AFB,OH,R2
University of Oklahoma,Norman,OK,R1
Oklahoma State University–Stillwater,Stillwater,OK,R1
University of Tulsa,Tulsa,OK,R2
Oregon State University,Corvallis,OR,R1
University of Oregon,Eugene,OR,R1
Portland State University,Portland,OR,R2
Lehigh University,Bethlehem,PA,R2
Indiana University of Pennsylvania,Indiana,PA,R2
Drexel University,Philadelphia,PA,R1
Temple University,Philadelphia,PA,R1
University of Pennsylvania,Philadelphia,PA,R1
Thomas Jefferson University,Philadelphia,PA,R2
Carnegie Mellon University,Pittsburgh,PA,R1
University of Pittsburgh,Pittsburgh,PA,R1
Duquesne University,Pittsburgh,PA,R2
Pennsylvania State University,University Park,PA,R1
Villanova University,Villanova,PA,R2
West Chester University of Pennsylvania,West Chester,PA,R2
University of Puerto Rico at Río Piedras,San Juan,PR,R2
University of Rhode Island,Kingston,RI,R2
Brown University,Providence,RI,R1
Clemson University,Clemson,SC,R1
University of South Carolina,Columbia,SC,R1
South Dakota State University,Brookings,SD,R2
University of South Dakota,Vermillion,SD,R2
Tennessee Technological University,Cookeville,TN,R2
East Tennessee State University,Johnson City,TN,R2
University of Tennessee,Knoxville,TN,R1
University of Memphis,Memphis,TN,R1
Middle Tennessee State University,Murfreesboro,TN,R2
Vanderbilt University,Nashville,TN,R1
Tennessee State University,Nashville,TN,R2
University of Texas at Arlington,Arlington,TX,R1
University of Texas at Austin,Austin,TX,R1
Texas A&M University,College Station,TX,R1
Texas A&M University–Corpus Christi,Corpus Christi,TX,R2
Southern Methodist University,Dallas,TX,R2
University of North Texas,Denton,TX,R1
University of Texas at El Paso,El Paso,TX,R1
Texas Christian University,Fort Worth,TX,R2
Rice University,Houston,TX,R1
University of Houston,Houston,TX,R1
Texas Southern University,Houston,TX,R2
Sam Houston State University,Huntsville,TX,R2
Texas A&M University–Kingsville,Kingsville,TX,R2
Texas Tech University,Lubbock,TX,R1
Prairie View A&M University,Prairie View,TX,R2
University of Texas at Dallas,Richardson,TX,R1
University of Texas Rio Grande Valley,Rio Grande Valley,TX,R2
University of Texas at San Antonio,San Antonio,TX,R1
Texas State University,San Marcos,TX,R2
Tarleton State University,Stephenville,TX,R2
University of Texas at Tyler,Tyler,TX,R2
Baylor University,Waco,TX,R1
Utah State University,Logan,UT,R1
Brigham Young University,Provo,UT,R2
University of Utah,Salt Lake City,UT,R1
Virginia Tech,Blacksburg,VA,R1
University of Virginia,Charlottesville,VA,R1
George Mason University,Fairfax,VA,R1
James Madison University,Harrisonburg,VA,R2
Old Dominion University,Norfolk,VA,R1
Virginia Commonwealth University,Richmond,VA,R1
College of William and Mary,Williamsburg,VA,R2
University of Vermont,Burlington,VT,R2
Washington State University,Pullman,WA,R1
University of Washington,Seattle,WA,R1
University of Wisconsin–Madison,Madison,WI,R1
University of Wisconsin–Milwaukee,Milwaukee,WI,R1
Marquette University,Milwaukee,WI,R2
Marshall University,Huntington,WV,R2
West Virginia University,Morgantown,WV,R1
University of Wyoming,Laramie,WY,R2